id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4466577326230923,IrVYMq8WL,1957454880,自在的小霜,后天股市就要开盘了，手上拿的三支票，其中两支是医药股，上海莱士是专业生产血液制品，并有大量库存丙种蛋白，哈药集团是生产三精双黄连口服液与干扰素和口罩的，参照港股两天涨22倍的节奏，我也有望赚到点了。多么希望疫情立马过来，宁愿继续被套,,,,,0,2,0,2020-01-30 23:34,iPhone客户端,,,
4466576486939935,IrVXqt7or,1262340243,李宪法-,这样一盒双黄连，在石家庄神威大药房已卖到39.8元。,,,,,1,2,0,2020-01-30 23:31,iPhone客户端,['http://ww1.sinaimg.cn/large/4b3dc893ly1gbf0adduspj22c02c0e81.jpg'],,
4466567264217944,IrVIyhHhm,5532991498,凯凯三号,最近看新闻发现好多人都在抨击中医，说什么中医都是骗人的自己从来不吃中药，我翻了下自己以前吃过的药品，除了诺氟沙星之外都是中成药，像健胃消食片藿香正气水双黄连肠炎宁片等等，而且确实都管用，我就纳闷这些网络键盘侠都是从来不生病不吃药的吗？还是说这些网络喷子看见块状药片或者胶囊就以为是西药。越来越感觉中国没文化没智商的蠢东西好多啊，怪不得我的大学同学们都出国了。,,,,,1,3,9,2020-01-30 22:54,iPhone客户端,,,
4466563417933293,IrVClxhOl,1913208955,Sandy-Qqqq,今天打电话ing先生给我送进来我想都没想就喝了原苦的我原地爆炸30秒KAO据说可以预防就是太苦了吧#双黄连口服液#,,上海,,双黄连口服液,0,1,0,2020-01-30 22:39,HUAWEI Mate30 Pro 5G,['http://ww2.sinaimg.cn/large/7209407bgy1gbeysrwcztj22402tcqv5.jpg'],,
4466562410836983,IrVAJ3vJJ,5622101462,圆脸果茶_贱贱,如何证明自己是个多年老病号：能够面不改色心不跳喝下两瓶双黄连以前还觉得苦现在已经麻木了,,,,,0,2,2,2020-01-30 22:35,小米9,['http://ww4.sinaimg.cn/large/0068tLpQly1gbeypo4ui8j30qy0tlgmw.jpg'],,
4466322349607968,IrPlwEjte,1709951635,哈尔滨日报,【“双黄连”被纳入新冠病毒防治方案|哈药集团加班生产日产130万支】#防控疫情我们共同努力##哈尔滨身边事#记者张鸣霄1月23日，三精双黄连口服液被北京市中医药管理局正式纳入新型冠状病毒防治方案。从大年初二开始，哈药集团旗下的中药二厂、哈药生物和三精制药就相继开工，加班加点生产三精双黄连口服液、清热解毒口服液、注射用胸腺法新等药品，与全国人民同心共济，抗击疫情。O“双黄连”被纳入新冠病毒防治方案|哈药集团加班生产日产130万支,,,,"防控疫情 我们共同努力,哈尔滨身边事",150,180,711,2020-01-30 06:41,iPhone客户端,"['http://ww4.sinaimg.cn/large/65ebca93ly1gbe75c090kj20m80etmz8.jpg', 'http://ww4.sinaimg.cn/large/65ebca93ly1gbe75c5zopj20e40kvtfb.jpg', 'http://ww4.sinaimg.cn/large/65ebca93ly1gbe75buk7nj20u0140wjc.jpg']",,
4466556639845750,IrVrpFjkq,2170029665,三个观音,双黄连口服液一直是咱们国人败火消痰必备的中药,,,,,0,0,1,2020-01-30 22:12,iPhone XR,,,4466322349607968
4466522762640381,IrUyMb4SN,1642503304,绿色闪电侠,《“双黄连”被纳入新冠病毒防治方案|哈药集团加班生产日产130万支》1月23日，三精双黄连口服液被北京市中医药管理局正式纳入新型冠状病毒防治方案。O“双黄连”被纳入新冠病毒防治方案|哈药集团加班生产日产130万支,,,,,3,0,5,2020-01-30 19:57,百度App,['http://ww3.sinaimg.cn/large/61e69c88ly1gbeu5y6amrj20m8047jrg.jpg'],,
4466514873181241,IrUm3dlAl,5487854710,隔壁的黑暗料理家,"黄芪薏苡仁，去湿健脾,这次过去我会掌握很多新技能事实证明我提前半个月买的中药是有用的#双黄连可抑制新型冠状病毒#就是清热去毒嘛，也只是预防一下",,,,双黄连可抑制新型冠状病毒,0,1,1,2020-01-30 19:26,头发太多的Android,"['http://ww1.sinaimg.cn/large/005ZotHEly1gbesqo5z2kj30u013yado.jpg', 'http://ww2.sinaimg.cn/large/005ZotHEly1gbesqn679dj30u013ydlo.jpg', 'http://ww1.sinaimg.cn/large/005ZotHEly1gbet86v8ywj30qy0pp419.jpg']",,
4466507012292743,IrU9n9CrJ,3741812521,买买白菜酱,阿里健康大药房O网页链接【16.7起】白云山板蓝根颗粒20袋O网页链接【17.9起】三精双黄连口服液10ml*10支O网页链接【14.9起】999感冒灵颗粒（9袋）O网页链接【9.9起】可孚婴幼儿退烧贴1盒,,,,,1,2,22,2020-01-30 18:55,微博 weibo.com,"['http://ww4.sinaimg.cn/large/df078729gy1gbesaqbjinj20by0byn2p.jpg', 'http://ww1.sinaimg.cn/large/df078729gy1gbesauwhq2j20by0by79m.jpg', 'http://ww3.sinaimg.cn/large/df078729gy1gbesaxwba7j20by0bydlg.jpg', 'http://ww4.sinaimg.cn/large/df078729gy1gbesb0s705j20by0byafc.jpg']",,
