id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,转发数,评论数,点赞数,发布时间,发布工具,retweet_id
4466591633137069	,IrWlRda5T,5230804579	,今天已读忘回了吗,我原本，听着相声睡得开开心心，结果我妹把我拍醒让我帮她手机充电，完了又受我妈委托让我吃双黄连，这会她睡得开开心心，我独自清醒,,,,0,0,0,2020-01-31 00:31,荣耀V10 我AI的快,	
4466578764512618	,IrW16iVWa,6901994610	,我们直播,#聚焦新型肺炎#【#环视巡航武汉火神山医院#】1月25日，武汉决定建设火神山医院，用来集中收治新冠肺炎患者。#我们视频正在直播#与@新华视点@中国联通@湖北联通@华为中国合作，利用业界高端的视频监控技术，推出智能灵动的摄像机环视巡航施工现场。@新京报我们视频我们直播的微博直播.,,,"新华视点,中国联通,湖北联通,华为中国,新京报我们视频",178,3447,23340,2020-01-30 23:40,微博原生直播,	
4466590982177660	,IrWkO98vy,5473751128	,少君750708,每逢国家有事，中国人家国情怀的力量就彰显无疑。湖北和武汉的同胞们，用自己的行动再次告诉世界，中国人就是这么刚！致敬这些无私奉献的人们！你们辛苦了#万众一心抗击新冠肺炎##武汉加油##双黄连可抑制新型冠状病毒#,,,,14,4,28,2020-01-31 00:28,微博原生直播,4466578764512618	
4466584829546035	,IrWaSE3mj,7079062521	,肥肠小宝贝,脸蛋过敏了，然后我妈说，你上火的，喝双黄连就好了。然后现在三天过去了，越来越严重，在乡下药店关门没有医院你让我怎么办,,,,0,0,0,2020-01-31 00:04,iPhone客户端,	
4466715511388455	,IrZzF5Pcr,6027463787	,清高的仍子石836,绝望就是双黄连；惊喜是个双黄蛋,,,,0,0,0,2020-01-31 08:43,iPhone客户端,	
4466609508625560	,IrWOGAbTW,2459048771	,艾丽整半永久纹眉发际线纹绣形,转赞评这条、不过滤。#2020心愿加码#抽1⃣️位锦鲤送现金红包买口罩😷关注我因为每天都会#抽奖#哦！#转发抽奖#少出门、少聚集、勤洗手、勤通风…防控疫情我们一起努力！#钟南山返程提醒九宫格##返程后如何做好个人防护##双黄连可抑制新型冠状病毒#O抽奖详情,,深圳,,158,125,182,2020-01-31 01:42,转发抽奖超话,	
4466606845237978	,IrWKolYDw,1762907232	,不怎么热心市民老万,我真的好想过以前的自由自在的日子上班骂骂人下班去猩猩跳操没事朋友聚聚餐看看电影逛逛街而不是把钱花在买高价口罩淘宝消毒液双黄连口服液,,,,0,2,0,2020-01-31 01:32,iPhone客户端,	
4466929533834665	,Is58Rg5zr,2803301701	,人民日报,"【上海药物所、武汉病毒所联合发现：#双黄连可抑制新型冠状病毒#】31日从中国科学院上海药物所获悉，该所和武汉病毒所联合研究初步发现，中成药#双黄连口服液可抑制新型冠状病毒#。此前，上海药物所启动由蒋华良院士牵头的抗新型冠状病毒感染肺炎药物研究应急攻关团队，在前期SARS相关研究和药物发现成果基础上，聚焦针对该病毒的治疗候选新药筛选、评价和老药新用研究。双黄连口服液由金银花、黄芩、连翘三味中药组成。中医认为，这三味中药具有清热解毒、表里双清的作用。现代医学研究认为，双黄连口服液具有广谱抗病毒、抑菌、提高机体免疫功能的作用，是目前有效的广谱抗病毒药物之一。上海药物所长期从事抗病毒药物研究，2003年“非典”期间，上海药物所左建平团队率先证实双黄连口服液具有抗SARS冠状病毒作用,十余年来又陆续证实双黄连口服液对流感病毒（H7N9、H1N1、H5N1）、严重急性呼吸综合征冠状病毒、中东呼吸综合征冠状病毒具有明显的抗病毒效应。目前，双黄连口服液已在上海公共卫生临床中心、华中科技大学附属同济医院开展临床研究。（新华社）",,,,53935,80205,1326900,2020-01-31 22:54,微博 weibo.com,	
4466930976636343	,Is5bbrQpN,2362645571	,一竿斜月,双…双黄连？？,,,,0,0,0,2020-01-31 22:59,HUAWEI P20 Pro,4466929533834665	
4466930976631725	,Is5bbrPdj,1644809731	,青枚煮菁瓜,打赌明天药店就看不见双黄连了//@盈风:暂时住不了院的求助者试试吧🙏🙏,,,盈风,30,14,16,2020-01-31 22:59,HUAWEI Mate 20 Pro,4466929533834665	
4466930578308988	,Is5axyRxW,1926909715	,第一财经日报,#双黄连口服液可抑制新型冠状病毒#【上海药物所、武汉病毒所联合发现中成药双黄连口服液可抑制新型冠状病毒】记者31日从中国科学院上海药物所获悉，该所和武汉病毒所联合研究初步发现，中成药双黄连口服液可抑制新型冠状病毒。目前，双黄连口服液已在上海公共卫生临床中心、华中科技大学附属同济医院开展临床研究。（新华视点）,,,,127,396,1378,2020-01-31 22:58,iPhone客户端,	
4466930972416367	,Is5bba8BF,2732113732	,JT钧,万万没想到是它，双黄连？！,,,,0,0,0,2020-01-31 22:59,iPhone客户端,4466930578308988	
4466930968438146	,Is5bazp98,1988408285	,-糖果和你的嘴角,我最近感冒天天在家喝999感冒灵感觉双黄连要断货了,,,,0,0,0,2020-01-31 22:59,iPhone客户端,4466929533834665	
4466930066919713	,Is59It28h,1784473157	,中国新闻网,"【上海药物所、武汉病毒所联合发现：#双黄连可抑制新型冠状病毒#】31日从中国科学院上海药物所获悉，该所和武汉病毒所联合研究初步发现，中成药#双黄连口服液可抑制新型冠状病毒#。此前，上海药物所启动由蒋华良院士牵头的抗新型冠状病毒感染肺炎药物研究应急攻关团队，在前期SARS相关研究和药物发现成果基础上，聚焦针对该病毒的治疗候选新药筛选、评价和老药新用研究。双黄连口服液由金银花、黄芩、连翘三味中药组成。中医认为，这三味中药具有清热解毒、表里双清的作用。现代医学研究认为，双黄连口服液具有广谱抗病毒、抑菌、提高机体免疫功能的作用，是目前有效的广谱抗病毒药物之一。上海药物所长期从事抗病毒药物研究，2003年“非典”期间，上海药物所左建平团队率先证实双黄连口服液具有抗SARS冠状病毒作用,十余年来又陆续证实双黄连口服液对流感病毒（H7N9、H1N1、H5N1）、严重急性呼吸综合征冠状病毒、中东呼吸综合征冠状病毒具有明显的抗病毒效应。目前，双黄连口服液已在上海公共卫生临床中心、华中科技大学附属同济医院开展临床研究。（新华社）",,,,465,691,3041,2020-01-31 22:56,360安全浏览器,	
4466930968451107	,Is5bazswb,6659842805	,你快点来抱老子,完了，双黄连又买不到了,,,,1,0,0,2020-01-31 22:59,iPhone客户端,4466930066919713	
4466930959779112	,Is5b9F1ZC,6426872611	,咣咣BPA,真的假的哇双黄连这么有效？,,,,0,0,0,2020-01-31 22:59,Android,4466929533834665	
