id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4651756618777644,KlIqpAPsU,7585734925,维修电话400-967-8818,发布了头条文章：《基诺德热水器售后服务电话-全国24小时网点官方客服热线》#十堰天然气爆炸#O基诺德热水器售后服务电话-全国24小时网点官方客服热线,http://t.cn/A6fUclnh,,,十堰天然气爆炸,0,0,0,2021-06-24 23:31,微博 weibo.com,,,
4651749325931615,KlIeEoT5d,7615594160,用户1990751314,#湖北十堰燃气爆炸现场居民发声#多灾多难的湖北人！,,,,湖北十堰燃气爆炸现场居民发声,0,0,0,2021-06-24 23:02,iPhone客户端,,,
4651748582752365,KlIdsby0Z,7582791812,服务热线4oo-7658828,发布了头条文章：《大金中央空调全国服务电话总部-大金空调24小时服务电话》#十堰天然气爆炸的背后#O大金中央空调全国服务电话总部-大金空调24小时服务电话,http://t.cn/A6fUGJg0,,,十堰天然气爆炸的背后,0,0,0,2021-06-24 22:59,微博 weibo.com,,,
4651747995816075,KlIcvop1F,7582791812,服务热线4oo-7658828,发布了头条文章：《大金中央空调全国服务电话总部》#十堰燃气爆炸8人被刑拘#O大金中央空调全国服务电话总部,http://t.cn/A6fUGZgQ,,,十堰燃气爆炸8人被刑拘,0,0,0,2021-06-24 22:56,微博 weibo.com,,,
4651735266623892,KlHRYrNaY,5887073974,宁德电视台,#宁德电视台#【省市场监管局督导建党100周年我市市场监管重点领域安全工作】6月23日，省市场监管局督导组到我市督导市场监管重点领域安全工作，副市长黄建龙陪同。督导组一行前往我市燃气企业了解企业特种设备检验及维护保养、作业人员持证、安全制度落实等情况，强调要深刻吸取湖北十堰燃气爆炸事故教训，警钟长鸣，时刻紧绷特种设备安全弦；相关企业要切实履行安全主体责任，确保安全隐患整改到位，同时加强值班值守及应急演练，保障特种设备安全。L宁德电视台的微博视频,,,,宁德电视台,0,0,0,2021-06-24 22:06,微博视频号,,"http://f.video.weibocdn.com/003k3mHOgx07NIk0Vs5y010412005yfi0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1626148243&ssig=Cc3gcpBPfF&KID=unistore,video",
4651731646418949,KlHM8qVRr,2097057967,梅州电台新闻台,陈敏主持召开市委常委会召开扩大会议认真学习贯彻习近平总书记重要讲话和重要指示精神昨日，市委常委会召开扩大会议，传达学习习近平总书记在中央政治局会议、参观“‘不忘初心、牢记使命’中国共产党历史展览”时的重要讲话，对湖北十堰市张湾区艳湖社区集贸市场燃气爆炸事故作出的重要指示和给北京大学的留学生们回信精神，传达省委常委会会议和全省脱贫攻坚、扫黑除恶专项斗争有关总结表彰大会精神，研究我市贯彻落实意见。市委书记陈敏主持会议。会议强调，要认真学习、深刻领会习近平总书记重要讲话和重要指示精神，结合梅州实际抓好贯彻落实，不断提高政治判断力、政治领悟力、政治执行力，切实把增强“四个意识”、坚定“四个自信”、做到“两个维护”体现到具体工作成效中。,,,,,0,0,0,2021-06-24 21:51,微博 weibo.com,,,
4651673358434983,KlGg7zok7,5564927603,无心简影,台湾断交部长吴早泄接受CNN采访说，台湾“需要为两岸军事冲突做好准备”，还说大陆“网络间谍”散布谣言，称美国向台湾捐赠疫苗是“给宠物送疫苗”，最后它还扬言台湾要进行“不对称战争”，让大陆明白，如果他们想对台湾发动战争，就“必须付出一定的代价”。,,,,,21,135,470,2021-06-24 18:00,微博 weibo.com,"['http://ww4.sinaimg.cn/large/0064BRSPly1grti3p0ntej30u00yo4qp.jpg', 'http://ww4.sinaimg.cn/large/0064BRSPly1grtie6p30lj30lo0c6tmq.jpg']",,
4651729993862445,KlHJtgcNv,1405660137,齐斯理,不对称战争就是恐怖活动。那么，十堰的煤气爆炸是不是台巴子的不对称战争？,,,,,0,0,0,2021-06-24 21:45,荣耀X10 5G,,,4651673358434983
4651713145346476,KlHiimqRu,7633715491,孙庶明,十堰天然气爆炸性质严重，,,,,,0,0,0,2021-06-24 20:38,真我V11 5G,,,
4651697596795301,KlGTdsvLD,2797390801,Miss_dora范,#十堰燃气爆炸已致25人死亡#事件过去这么久，真的很多人都在为居民恢复生活而努力，今天来测试燃气的师傅就是从广西支援过来的，真的很感恩谢谢你们,,十堰,,十堰燃气爆炸已致25人死亡,0,1,2,2021-06-24 19:36,HUAWEI P30 Pro,"['http://ww2.sinaimg.cn/large/a6bccbd1gy1grtl6uwa6aj22402tc4qq.jpg', 'http://ww4.sinaimg.cn/large/a6bccbd1gy1grtl6w12cwj22402tc4qq.jpg']",,
