id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4643785718632927,Kin47AdOL,5654253203,百万庄通讯社官微,【#体育总局暂停山地越野等赛事#】5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。体育总局将对体育赛事活动进行全面梳理，加快完善管理制度，健全标准规范，全面加强对体育赛事活动安全的管理保障。O网页链接,,,,体育总局暂停山地越野等赛事,0,0,1,2021-06-02 23:37,iPhone客户端,['http://ww2.sinaimg.cn/large/006aEFyjly1gr4cj8iy2pj30r50b6dir.jpg'],,
4643784287064696,Kin1OtDQI,2681776697,yiohfdrtwer,【体育总局：暂停山地越野、翼装飞行等新兴高危体育赛事】体育总局办公厅关于暂停相关体育活动的通知各省、自治区、直辖市人民政府办公厅，新疆生产建设兵团办公厅：5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发...O体育总局办公厅关于暂停相关体育活动的通知来自@凤凰新闻客户端,,,凤凰新闻客户端,,0,0,0,2021-06-02 23:31,凤凰新闻,['http://ww3.sinaimg.cn/large/9fd8aa39ly1gr4cda6sngj20i20a675j.jpg'],,
4643783919275810,Kin1dCV3Q,2543479535,买买提吐尔逊·曉龍,6月2日，国家体育总局官网发布关于暂停相关体育活动的通知。内容如下：各省、自治区、直辖市人民政府办公厅，新疆生产建设兵团办公厅：5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。体育总局将对体育赛事活动进行全面梳理，加快完善管理制度，健全标准规范，全面加强对体育赛事活动安全的管理保障。各地要严格落实非必要不办赛要求，坚持底线思维，增强风险意识，强化属地管理责任，采取切实有效措施防范和化解风险。要围绕组织运营、服务保障、安全管理、应急救援、疫情防控、地质条件、气象因素等内容，对所有赛事活动开展全面风险排查，存在安全隐患的一律暂停，严防体育领域安全事件发生，为迎接建党100周年营造良好的环境和氛围。,,呼和浩特,,,0,0,0,2021-06-02 23:30,Redmi K30 5G先锋,['http://ww1.sinaimg.cn/large/979a6aefly1gr4cbtci2lj20ra0i0tdh.jpg'],,
4643776872841782,KimPRbVhc,5486700955,济南市中检察,【#体育总局暂停山地越野等高危体育赛事#】据国家体育总局，5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。,,,,体育总局暂停山地越野等高危体育赛事,4,6,5,2021-06-02 23:02,小米10,['http://ww2.sinaimg.cn/large/005ZjDyHly1gr4bio7yqij30yn0lt7bg.jpg'],,
4643776315002229,KimOXkZj7,3964232262,爱信阳,#信阳生活#【体育总局：暂停山地越野等高危体育赛事活动】6月2日，国家体育总局办公厅发布关于暂停相关体育活动的通知，要求从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。通知全文如下：各省、自治区、直辖市人民政府办公厅，新疆生产建设兵团办公厅：5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。体育总局将对体育赛事活动进行全面梳理，加快完善管理制度，健全标准规范，全面加强对体育赛事活动安全的管理保障。各地要严格落实非必要不办赛要求，坚持底线思维，增强风险意识，强化属地管理责任，采取切实有效措施防范和化解风险。要围绕组织运营、服务保障、安全管理、应急救援、疫情防控、地质条件、气象因素等内容，对所有赛事活动开展全面风险排查，存在安全隐患的一律暂停，严防体育领域安全事件发生，为迎接建党100周年营造良好的环境和氛围。体育总局办公厅2021年5月28日来源：国家体育总局网站,,信阳·新县,,信阳生活,0,0,0,2021-06-02 23:00,HUAWEI Mate 9,['http://ww1.sinaimg.cn/large/ec496246ly1gr4bgd4alcj20u00knai8.jpg'],,
4643776272012777,KimOT8rC9,1936119834,河北长城网,【#体育总局暂停山地越野等高危体育赛事#】据国家体育总局，5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。,,,,体育总局暂停山地越野等高危体育赛事,1,0,6,2021-06-02 23:00,微博 weibo.com,['http://ww4.sinaimg.cn/large/00271Ldggy1gr46mn523hj60j60c2thi02.jpg'],,
4643771893422115,KimHPemfp,5592704247,文教艺在线,【#体育总局暂停山地越野等赛事#】5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。体育总局将对体育赛事活动进行全面梳理，加快完善管理制度，健全标准规范，全面加强对体育赛事活动安全的管理保障。O网页链接,,,,体育总局暂停山地越野等赛事,2,0,6,2021-06-02 22:42,东方文化超话,['http://ww3.sinaimg.cn/large/0066upRdly1gr4ay3tkqgj30r50b676d.jpg'],,
4643771894205440,KimHPhE1G,2740207591,三亚日报,#三亚头条发布#【体育总局：暂停山地越野、戈壁穿越等新兴高危体育赛事活动】#体育总局暂停山地越野等赛事#体育总局网站6月2日消息，体育总局办公厅印发通知：5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。体育总局将对体育赛事活动进行全面梳理，加快完善管理制度，健全标准规范，全面加强对体育赛事活动安全的管理保障。各地要严格落实非必要不办赛要求，坚持底线思维，增强风险意识，强化属地管理责任，采取切实有效措施防范和化解风险。要围绕组织运营、服务保障、安全管理、应急救援、疫情防控、地质条件、气象因素等内容，对所有赛事活动开展全面风险排查，存在安全隐患的一律暂停，严防体育领域安全事件发生，为迎接建党100周年营造良好的环境和氛围。详情戳→O体育总局：暂停山地越野等新兴高危体育赛事活动,,,,"三亚头条发布,体育总局暂停山地越野等赛事",0,0,0,2021-06-02 22:42,360安全浏览器,,,
4643769624564285,KimEaj9nv,2738546443,全国妇联女性之声,【国家体育总局：#山地越野等赛事被暂停#】国家体育总局：5月22日，甘肃白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。#体育总局暂停山地越野等赛事#（总台央视记者杨威）@央视新闻,,,央视新闻,"山地越野等赛事被暂停,体育总局暂停山地越野等赛事",0,0,1,2021-06-02 22:33,,['http://ww4.sinaimg.cn/large/002ZkF1Vly1gr4aop0w90j605k05kq3902.jpg'],,
4643769502140519,KimDY8YQv,6343089784,闽科土木工程学院团委,转自人民日报【#体育总局暂停山地越野等高危体育赛事#】据国家体育总局，5月22日，甘肃省白银市黄河石林百公里越野赛因局部天气突变发生公共安全事件，造成重大人员伤亡，教训十分沉痛。为切实保障人民群众身体健康和生命安全，从即日起，暂停山地越野、戈壁穿越、翼装飞行、超长距离跑等管理责任不清、规则不完善、安全防护标准不明确的新兴高危体育赛事活动。@青春闽科,,,青春闽科,体育总局暂停山地越野等高危体育赛事,0,0,0,2021-06-02 22:33,vivo智能手机,['http://ww3.sinaimg.cn/large/006VgXpKgy1gr4ao7hl0aj30yn0lt7bg.jpg'],,
