id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,转发数,评论数,点赞数,发布时间,发布工具,retweet_id
4639791608240046	,KgHa0yzBY,2248834985	,四川魏静,【跑圈又出大事：多名选手被困黄河石林山地马拉松百公里越野跑赛道，已申请直升机救援】5月22日，甘肃白银黄河石林山地#马拉松#百公里#越野赛#鸣枪开赛，因遭遇低温狂风暴雨极端天气，多名选手失温被困赛道，比赛已经终止。据搜狐跑步消息，事发后，赛事组委会第一时间进行了救援，蓝天救援队也参与到了求助中。并申请了直升机救援。图7为参赛跑友稍早前发我的照片，照片中的选手背朝天面卧地。跑友称：“我往下撤时候看见的，去叫了下他，他眼睛动了下，我也没办法就走了，路过看到救援队的给说了下。现在救护车还往下走呢，今天出大事呀，刚又过去10几辆救护车……”图8左边躺地上的选手已口吐白沫……图9选手头部受伤……图10是参赛跑友和朋友的聊天截图。该参赛跑友称：“活着真好，伤亡惨重，很严重。我呆的窑洞附近，已经有三个是冻僵了的，人没了。”这位跑友的朋友最后补充说：他路上看到几个都没有生命特征的。图11跑友曝料称：“我朋友也跟我说，至少有十几个全都失温，无法叫醒。”多位选手处境危险，望平安！🙏🙏🙏据跑友介绍，截止目前，救援仍在进行中……户外有风险，参赛需谨慎！敬畏自然，敬畏生命，敬畏越野跑这项极限运动。新华社23日凌晨4时消息：#甘肃景泰一马拉松百公里越野赛已发现16人遇难#。🙏🙏🙏央视23日凌晨4:10消息：遇灾害天气甘肃白银山地马拉松参赛选手16人遇难，5人失联。🙏🙏🙏#甘肃山地马拉松事故21人遇难##马拉松乱象##甘肃山地马拉松事故21名遇难者名单#,,,,686,505,3351,2021-05-22 23:06,iPad Pro,	
4639806342038834	,KgHxM8yoq,6361452049	,要不我就再想想,今日比赛阳城横河赛总结第一场越野赛（也是我的第一场越野赛）跑的好不好先不说，犯了最低级错误，导致芯片差点丢失，幸好有车协哥们大中午帮忙一起寻找，才让我没有损失二百多元（以后比赛一定要拴紧）；然后再说说比赛过程中的启发，虽然混上了低保，但是由于经验不足，没有提前看赛道爬坡乱石档位不当等一系列新手问题，导致摔车，爬坡被超等等；越野赛的收获想要成绩拿的好，只要低头往前跑，不论是乱石阵，小湖泊，树桩排，暗道，急转弯，超级大飞坡，泥沙阵，只要克服恐惧，勇往直前，人车合一，越害怕越容易摔；第二场淘汰赛这场比赛还是跟第一场前边一样越野，第二遍可能是对赛道不那么陌生了，变得轻车熟路起来，由于第二场人少，仔细观察了赛道，不知道那些大飞坡，泥沙水流，大乱石自己早上是怎么过去的，尤其是在那几个连续的大飞坡，跟着男子组留下的灰尘一溜而下，车把还飘飞了起来，差点以为会摔，幸好调整了过来，真的是又紧张又刺激，自己心里想想还后怕不足：爬坡被超，平地被超，乱石阵变档不积极目标：努力训练，让自己体能更强，练腿！练腿！练腿！混最高低保！P1找到丢失的芯片P2今天比赛完队服的样子从内到外无一幸免P3淌水比赛找芯片后鞋鞋袜袜沦陷P4摔车P5第一场比赛完后的样子P6以她们为目标,,晋城,,0,0,0,2021-05-23 00:04,荣耀30 Pro+ 5G,	
4640167254561719	,KgQVTj8I7,2007244403	,红尘贪嗔痴,《亲历甘肃马拉松的成都女跑者：逢雨必退的自己活着回来就是庆幸》央视新闻客户端5月23日消息，22日甘肃白银马拉松越野赛遇极端天气，多人死伤。甘肃省委省政府已成立事件调查组，对事件原因进行进一步深入调查。O网页链接,,,,0,0,0,2021-05-23 23:59,iPhone客户端,	
4640167162545063	,KgQVKaG5p,2027841954	,暖溪6,昨天失去袁老和吴老的悲伤还没有缓解，今天又看到甘肃白银山地马拉松21位参赛者因恶劣天气骤然逝去，让人感慨生命无常的同时，也愤慨这原本是一场可以避免的灾难.即便市长内疚道歉，人们也无法原谅举办方在这场赛事中的失误.天气，是越野跑赛时绕不过去的坎，更是考验组织者应急处置能力的试金石。近几年因恶劣天气提前结束或临时改变举办方案的越野赛已经给我们树立了好的应急榜样，比如柴古唐斯越野赛、四姑娘山超级越野跑（UTMS）、野性祁连越野跑赛（TransQilian）、喀纳斯超级越野赛、Vibram香港100公里、TNF100北京站、八百流沙极限赛和戈壁长征（极地长征中国新疆站）。这几场比赛正是因为举办方因为天气原因及时进行了调整，才保证了全体参加者的安全，没有出现任何意外事故.不论由于哪种自然不可抗力，组织者都要有预测意外，并采取审慎完备的预案来控制潜在风险的能力，那为什么白银山地马拉松会出现这么这种失误呢？我们期待更多真相！,,,,0,0,1,2021-05-23 23:58,iPhone客户端,	
4640167149442198	,KgQVIDClw,1198432330	,叶身潭,【甘肃白银山地越野赛牧羊人连救六名选手】中国青年报客户端甘肃白银5月23日电（中青报·中青网记者王豪马富春）“由衷感谢朋友们的关心，5月22日甘肃黄河石林百公里马拉松遭遇恶劣天气，起雾、下雨、冰雹、下雪，自救都困难，感谢跑友救了我一条命，感受...O网页链接,,,,0,0,0,2021-05-23 23:58,分享按钮,	
4640166952308794	,KgQVp9GCC,2141181041	,围脖影视,#甘肃马拉松事故已致20人遇难#甘肃白银马拉松越野赛遇极端天气，事故目前已致20人遇难。#今日热门#L围脖影视的微博视频,,,,0,0,0,2021-05-23 23:57,微博视频号,	
4640166931595882	,KgQVn6Ha2,7212314665	,哈勃观察员,马拉松幸存者：打40多个救援电话无回应，天灾还是人祸？甘肃白银市马拉松越野赛，遭遇冰雹冻雨等极端天气，21位参赛选手不幸遇难。原因不只是天灾，更主要是人祸。李涛（化名）是这次越野赛中的幸存者，他全程跑完了马拉松，并安全回到山下。“死里逃生”的他，很庆幸自己能够在从山上下来。他告诉新闻记者，下山的时候，山上就发现了几具跑友的尸体，但无法救援，“太惨了，路标也没有。”李涛说，一看到这样的天气，选手们大都开始尝试自救，有抱团取暖抵抗大风的，也有尝试拨打救援电话和120急救电话的。当时，他自己的手机时而有信号，时而没信号，发现有一丝信号时，他拨打救援电话，但一直没人接听。他还试图建议赛事组委会能否用直升机来救人，但救援电话那头，也未获回应。李涛说，他是当天下午五点过下的山。下山的时候，他的双腿包括下身都快失去知觉。他拨打了近40余个救援电话，但电话那头都没有说清楚如何救援、怎么救援，后来他的手机还有百分之二的电量时，直接调成了飞行模式，他已经要打瞌睡了。李涛说，这种状态下，他知道一睡过去，后果可想而知。他用背包里仅剩的类似跌打损伤药，直接往肌肉上喷，后来又服用了止痛药，强制自己站起来。踉踉跄跄没几步，他又跌坐在地上，他尝试多走几步，待身体慢慢热起来后，遇到了蓝天救援队的队员，这才捡回了一条命。对于赛事组委会方面，李涛说，其实在已经发出天气警报的时候，就应该立刻停止比赛。“五月初的时候，乌蒙山那边的越野比赛就出现过失温导致人死亡的问题，”他说，在这次越野赛中，已经有人发出了失温警报，但主办方并未终止比赛。后来，他们在微信群里得知，由于大家都对失温危害估计不足，大部分选手没有佩戴冲锋衣、冲锋裤，而只有短衣短裤，组委会在这方面并没有提前预案。李涛告诉记者，他很有可能是第一个拨打110电话的参赛选手，他希望申请直升飞机来救援，结果到了晚上的时候，才有救援，“那时候已经是拖尸体了。”下山之后，李涛比较清醒，他想到当时的情况就后怕，要是自己也遇难，恐怕就没有这段经历的记录了。（源自封面新闻）#热门微博##跑友回忆甘肃越野赛惊险历程##甘肃山地马拉松幸存选手发声#,,,,142,166,754,2021-05-23 23:57,微博 weibo.com,	
4640166797641346	,KgQV9w3Rw,6209092845	,馨悦博翔017,【#越野赛选手称昏迷后被放羊大叔救下#：鬼门关走了一遭】5月23日，甘肃白银黄河石林山地马拉松百公里越野赛遭遇极端天气，共172人参赛，已致21人死亡。选手张小涛称，起跑后，很多人的帽子都被吹跑。CP2（第二打卡点）之后开始下雨，到达半山腰之后开始全身发抖，用GPS定位器按了SOS后昏迷，后被一位放羊大叔救助。#牧羊人连救六名山地越野赛选手#@涛哥在跑步L新京报我们视频的微博视频,,,涛哥在跑步,0,0,1,2021-05-23 23:57,微博视频号,	
4640116004620657	,KgPBejo2J,1646082654	,骆明微博,在日本比赛的时候，那更细致了：包括什么时段带登山杖，什么时段不能带，都有明确的规定；出站要带多少水，要带多少食品，他们要检查核算你所带补给品的卡路里。我当时跟一个朋友一块儿去跑的，他带了两个烧饼，这个肯定是可以补给热量的，但是没有精准的标识，检查的时候就说不行——你可以带着吃，但是这个不能计算在内，得拿出有卡路里标识的能量棒什么的来。后来我把我带的吃的，给了他一点儿，才凑足了要求的数值。他们考虑的不只是你顺利完赛所需，还有意外情况发生时，你有没有足够的能量可以等待救援。这种意外其实是会发生的，比如，2012年我就在比赛中摔倒了，那些强制装备就成了救命装备。你不带这么多就不行，我们还是要严格执行这些规定。我在参加“香港100”比赛的时候，天气原本很热，但也出现过下冻雨的情况，很多人在山上下不来。#甘肃山地马拉松事故21人遇难#O越野赛事公司负责人：参与者、组织者长期都漠视安全问题,,,,43,10,78,2021-05-23 20:35,Android,	
4640166780079243	,KgQV80kC7,7503911549	,负面情绪倾倒价值观混乱,//@骆明微博:太惨痛了。//@滑雪的江鱼儿:这次白银黄河石林百公里越野赛死伤惨重，确实源于组织方与参赛者对于可能的恶劣天气都没做好准备，组织方为保证参赛水平和完赛率的赛事补助安排，使得参赛者普遍不愿意退赛，想退时已经失温丧失自救能力，救援又跟不上，大大加剧伤亡。,,,"骆明微博,滑雪的江鱼儿",0,0,0,2021-05-23 23:57,iPhone客户端,4640116004620657	
