id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4642356483590460,KhLSUf42E,2707496125,岁岁果冻粉,#情暖青海地震灾区#希望在大大的世界里，付出一点点温暖。我在“玛多地震急需温暖包”项目捐款成功！@北京市红十字基金会http://t.cn/A6VfDdwx,,,北京市红十字基金会http,情暖青海地震灾区,0,0,0,2021-05-30 00:58,微公益,,,
4642356264964917,KhLSykPBj,2976220103,为我点赞不嫌多,#紧急驰援云南地震##情暖青海地震灾区#涓滴之水成海洋，我在“驰援青海云南地震”项目捐款成功！携手@Santa_赞多官方后援会，凝聚颗颗爱心点燃更多希望。@成都市慈善总会驰援青海云南地震,,,"Santa_赞多官方后援会,成都市慈善总会","紧急驰援云南地震,情暖青海地震灾区",0,0,1,2021-05-30 00:57,微公益,,,
4642355452313799,KhLRf9HVl,6742695703,七沫是最瘦哒,#情暖青海地震灾区#赠人玫瑰，手有余香。我在“玛多地震急需温暖包”项目捐款成功！@北京市红十字基金会http://t.cn/A6VfDdwx,,,北京市红十字基金会http,情暖青海地震灾区,0,0,1,2021-05-30 00:54,微公益,,,
4642355119917479,KhLQHFBZl,6657588893,清新小汤圆一枚,#紧急驰援云南地震##情暖青海地震灾区#与爱同路，让爱回家。我在“驰援青海、云南地震灾区”项目捐款成功！愿我和@陶阳官微一起放大爱的力量！@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"陶阳官微,中华思源工程扶贫基金会","紧急驰援云南地震,情暖青海地震灾区",3,0,0,2021-05-30 00:52,微公益,,,
4642354918853937,KhLQnB9jr,6576066743,呼呼想鸭鸭惹,#情暖青海地震灾区#赠人玫瑰，手有余香。我在“玛多地震急需温暖包”项目捐款成功！@北京市红十字基金会http://t.cn/A6VfDdwx,,,北京市红十字基金会http,情暖青海地震灾区,0,0,0,2021-05-30 00:52,微公益,,,
4642354734042142,KhLQ5gXxQ,2607992905,天江衣__,#情暖青海地震灾区#善良的心地，就是黄金。天地有大美而不言。邪念似疾病，总在闲暇中袭来；善意如医生，总在匆忙中光顾。,,,,情暖青海地震灾区,0,0,0,2021-05-30 00:51,HUAWEI nova 2 Plus,,,
4642354570985695,KhLPP48qj,6348511746,妖_搁浅,#紧急驰援云南地震##情暖青海地震灾区#赠人玫瑰，手有余香。我在“驰援青海、云南地震灾区”项目捐款成功！愿我和@Crucis_周震南公益个站让爱心传递。@中华思源工程扶贫基金会驰援青海、云南地震灾区,,,"Crucis_周震南公益个站,中华思源工程扶贫基金会","紧急驰援云南地震,情暖青海地震灾区",0,0,0,2021-05-30 00:50,微公益,,,
4642353967005711,KhLOQtovl,2498619564,誰是倒霉小歌星·,#情暖青海地震灾区#赠人玫瑰，手有余香。我在“玛多地震急需温暖包”项目捐款成功！@北京市红十字基金会http://t.cn/A6VfDdwx,,,北京市红十字基金会http,情暖青海地震灾区,0,0,0,2021-05-30 00:48,微公益,,,
4640400726035093,KgX0spk0d,2170556287,北京市红十字基金会,#情暖青海地震灾区#黄河乡海拔4200多米，玛多县黄河乡是此次地震的震中。黄河乡藏文寄宿制学校学生和教职工得到及时疏散，被临时安置在操场上搭建救灾帐篷中。学校现有学龄前儿童68人，小学生150人，全部是寄宿制，每年寒暑假期间与父母团聚。今天开始在临时搭建的“帐篷教室”正式复课，学生饮食供应正常，近期天气白天最高8度左右，夜间0度左右，预报显示24号夜间到25号有雨夹雪，“宿舍帐篷”里有电暖气、煤炉取暖。@微公益,,,微公益,情暖青海地震灾区,3202,987,1909,2021-05-24 15:26,微博 weibo.com,"['http://ww2.sinaimg.cn/large/81600f7fly1gqtjr52tecj20ug0ld7gi.jpg', 'http://ww3.sinaimg.cn/large/81600f7fly1gqtjr80184j213c0o9wt9.jpg']",,
4642353061561812,KhLNo6yiw,2266311941,行无羁-思无邪,#情暖青海地震灾区#近期天气白天最高8度左右，夜间0度左右，预报显示24号夜间到25号有雨夹雪，“宿舍帐篷”里有电暖气、煤炉取暖。@微公益,,,微公益,情暖青海地震灾区,0,0,0,2021-05-30 00:44,,,,4640400726035093
