node1,node2,time,父节点内容,子节点内容
5342220662	,7576843525	,2021-05-22 01:59,#大理漾濞6.4级地震#【地震来临时如何避险？】地震突发性强，我们只有掌握正确、科学的避震方法才能尽可能将损失和伤害降至最低。地震时，在家中、在室外、在工作岗位上的人员如何进行个人防护？一图了解↓#大理漾濞5.6级地震#@新疆森林消防总队,#青海果洛州玛多县7.4级地震#地震逃生小口诀：“保持镇静勿慌张，切断用电煤气源。身在高楼勿近窗，坚固家具好避处。检查住所保性命，危楼勿近先离开。震后电梯勿搭乘，楼梯上下要小心。室外行走避乘车，慎防坠物和电线。行车勿慌减车速，注意四方靠边停。收听广播防余震，自救互救勿围观。”
5342220662	,6160795627	,2021-05-22 22:56,#应急科普#【转存自救知识！地震来了如何逃生】我们无法预知灾难什么时候会来，但我们能提前准备，了解该如何应对。地震来时如何科学避震？第一时间如何自救？戳视频↓了解更多地震避险自救互救知识！#青海玛多再发5.1级地震#@国家应急广播L应急管理部的微博视频,转存自救知识！地震来了如何逃生@青海共青团@青海西宁共青团@夏都西宁
5342220662	,2784491542	,2021-05-22 19:56,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@云南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,2467781350	,2021-05-22 21:56,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@云南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,3788871730	,2021-05-22 20:53,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@云南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,3316307765	,2021-05-22 19:51,【#应急管理部派工作组分赴青海云南震区#青海果洛州玛多县发生7.4级地震应急管理部迅速部署抢险救援救灾派出两个工作组分赴青海、云南震区】据中国地震台网测定，5月22日2时4分在青海果洛州玛多县发生7.4级地震，震源深度17千米。震中附近平均海拔约4230米，人口稀少。此次地震发生在牧区，当地多为砖木结构平房且分布分散，可能造成少量房屋受损，灾情正在进一步核实中。地震发生后，应急管理部立即启动特别重大地震灾害二级应急响应，部党委书记、部长黄明和分管部领导第一时间赶到部指挥中心，与中国地震局、地震台网中心以及青海省应急管理厅、消防救援总队和地震救援现场视频连线，调度了解震区情况，指导调派消防救援力量，部署抢险救援救灾工作。应急管理部、中国地震局连夜派出工作组赴青海指导协助地方开展抢险救援救灾工作。在地方党委、政府的领导下，消防救援队伍已派出前突力量39车184人开赴震中踏勘搜救，并集结周边消防救援队伍做好抢险救灾准备。5月21日21时48分，云南大理州漾濞县发生6.4级地震，截至22日3时，接报死亡1人（原报告死亡2人，其中被困于车里的1人经抢救后恢复生命体征）、受伤22人。应急管理部、中国地震局已派出工作组赴云南指导协助地方开展抢险救援救灾工作。#青海玛多7.4级地震##大理漾濞6.4级地震#,//@天津消防:青海果洛州玛多县发生7.4级地震应急管理部迅速部署抢险救援救灾派出两个工作组分赴青海、云南震区。#青海发生7.4级地震#
5342220662	,2455448384	,2021-05-22 18:54,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,2062204527	,2021-05-22 19:50,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,5646984272	,2021-05-22 22:40,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,//@云南消防:应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
5342220662	,2451946993	,2021-05-22 19:33,【应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资】5月21日21时48分、22日2时4分，云南大理州漾濞县、青海果洛州玛多县先后发生6.4级和7.4级地震。地震发生后，应急管理部立即启动云南漾濞地震灾害三级应急响应、青海玛多地震灾害二级应急响应，国务院抗震救灾指挥部副指挥长、应急管理部部长黄明第一时间赶到部指挥中心，持续调度指导云南、青海地震抗震救灾，部署排查搜救、震情监测、次生灾害防范和受灾群众救助安置等工作。应急管理部、中国地震局派出两个工作组分赴云南、青海指导协助地方开展抢险救援救灾工作。O应急管理部持续部署指导云南青海地震抗震救灾工作,应急管理部持续部署指导云南青海地震抗震救灾工作会同相关部门紧急拨付中央救灾资金和物资
